Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Active,Capture and Storage,Asia,KR,0,0,0,0,36.47430676,127.9467773,CCS,300.0
Active,Capture,Asia,AE,0,1,0,0,24.136783,52.738073,Capture,400.0
Active,Capture,Asia,CN,0,0,0,0,28.87176,105.442141,Capture,158.92
Potential,Capture and Storage,Asia,AE,0,1,0,0,24.22123,54.466994,CCS,11782.0
Hold,Capture and Storage,Europe,GB,0,0,0,0,54.575354,-1.127528,CCS,850.0
Terminated,Capture and Storage,Europe,GB,1,1,0,0,53.65401077,-0.258845002,CCS,470.0
Active,Capture,Europe,GB,0,1,0,0,51.387226,-3.406614,Capture,3.0
Terminated,Capture and Storage,Europe,GB,0,1,0,0,51.456074,0.38857,CCS,1131.0
Hold,Capture and Storage,Asia,AE,0,0,0,0,24.47527313,54.36998749,CCS,420.0
Active,Storage,Europe,Ire,0,0,0,0,53.321801,-5.809636,Storage,450.0
Hold,Capture,North America,USA,0,0,0,0,38.927706,-81.768613,Capture,629.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,38.97882462,-81.938797,CCS,30.0
Hold,Capture,North America,USA,0,1,0,0,36.430797,-95.700805,Capture,450.0
Terminated,Capture,North America,USA,0,0,0,0,36.476601,-97.177595,Capture,950.0
Terminated,Capture,North America,USA,0,1,0,0,39.082102,-84.859778,Capture,500.0
Terminated,Capture and Storage,North America,USA,1,1,0,0,40.602446,-80.650773,CCS,53000.0
